,50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
10,,,,,,,,,,,,,,,,,,0.85551,,,,,,,,,,,,77086a03-7460-4071-8679-338473c82697,14,,,"[28.5, 68.9]",3754008,0,,,,,1.5707964,,Right Foot,,,,"[28.5, 77.2]",,Low Pass,,8.3,,,,Luis Antonio Valencia Mosquera,,,,,,,1,From Throw In,Michael Carrick,4751.0,Right Defensive Midfield,3,Manchester United,39,['a6fb6fa1-d937-444c-9f4d-0ec37182b182'],13,,,,,,,,,,,,,,,,Manchester United,39,00:00:13.112,Pass,
11,,,,,,,,,,,,,,,,,,1.282815,,,,,,,,,,,,f5985777-6165-406a-8f5e-845fd7ee9de4,17,,,"[28.5, 77.2]",3754008,0,,,,,-1.6711773,,Right Foot,,,,"[27.1, 63.3]",,Ground Pass,,13.970325,,,,Michael Carrick,,,,,,,1,From Throw In,Luis Antonio Valencia Mosquera,3267.0,Right Back,3,Manchester United,39,['b8624d86-e2f5-4093-9b9a-9483cbc82342'],14,,,,,,,,,,,,,,,,Manchester United,39,00:00:14.568,Pass,
12,,,,,,,,,,,,,,,,,,2.4687,,,,,,,,,,,,84919cc9-e5f8-464d-830c-b3183a13da2b,20,,,"[27.1, 62.1]",3754008,0,,,,,-1.8360034,,Right Foot,,,,"[20.5, 37.8]",,Ground Pass,,25.18035,,,,Daley Blind,,,,,,,1,From Throw In,Michael Carrick,4751.0,Right Defensive Midfield,3,Manchester United,39,['2efcf0d8-2eb3-47fe-b50c-8f965b658e27'],16,,,,,,,,,,,,,,,,Manchester United,39,00:00:16.195,Pass,
13,,,,,,,,,,,,,,,,,,1.64871,,,,,,,,,,,,76d054ee-777e-4dbf-8db9-e7c80dfcb836,23,,,"[29.1, 28.6]",3754008,0,,,,,1.2085694,,Left Foot,,,,"[36.3, 47.6]",,Ground Pass,,20.318464,,,,Michael Carrick,,,,,,,1,From Throw In,Daley Blind,3311.0,Left Center Back,3,Manchester United,39,['0df6c607-3151-4a11-9f06-f45915aca79a'],21,,,,,,,,,,,,,,,,Manchester United,39,00:00:21.715,Pass,
14,,,,,,,,,,,,,,,,,,1.640575,,,,,,,,,,,,b72ff765-f5af-498e-8a98-8926dfb4e3ce,26,,,"[44.6, 53.3]",3754008,0,,,,,0.2678669,,Right Foot,,,,"[86.5, 64.8]",,High Pass,,43.449512,,,,Anthony Martial,,,,,,,1,From Throw In,Michael Carrick,4751.0,Right Defensive Midfield,3,Manchester United,39,['869451ae-1f5d-433e-9e5b-cc45446499f7'],25,,,,,,,,,,,,,,,,Manchester United,39,00:00:25.558,Pass,
15,,,,,,,,,,,,,,,,,,2.069652,,,,,,,,,,,,e343aa42-6450-4f69-afc1-e411f6ade78e,36,,,"[26.4, 21.4]",3754008,0,,,,,2.3896167,,Left Foot,,,,"[9.4, 37.3]",,Ground Pass,,23.276812,,,,Costel Fane Pantilimon,,,,,,,1,Regular Play,Patrick van Aanholt,3321.0,Left Back,4,Sunderland,41,['99ca85dd-001b-4bb6-b08f-291d908eb2f9'],30,,,,,,,,,,,,,,,,Sunderland,41,00:00:30.122,Pass,
16,,,,,,,,,,,,,,,,,,3.695222,,,,,,,,,,,,c001b392-cee5-421a-8bc1-91fa0453668e,39,,,"[9.1, 35.2]",3754008,0,,,,,-0.007370874,,Right Foot,,,,"[49.8, 34.9]",,High Pass,,40.701107,,,,Ola Toivonen,,,,,,,1,Regular Play,Costel Fane Pantilimon,6871.0,Goalkeeper,4,Sunderland,41,['da4cee15-e04c-44cd-92a0-41a03c7032dd'],32,,,,,,,,,,,,,,,,Sunderland,41,00:00:32.231,Pass,
17,,,,,,,,,,,,,,,,,,0.5426,,,,,,,,,,,,f935a821-d3db-4b13-abd0-c4508a61ecf1,42,,,"[50.0, 34.8]",3754008,0,,,,True,0.2929124,,,,,,"[56.3, 36.7]",,High Pass,,6.5802736,,,,Fabio Borini,,,,,,,1,Regular Play,Ola Toivonen,4417.0,Left Center Midfield,4,Sunderland,41,"['3e3baedf-822c-46b0-9365-e65df6bc2a4f', '428bdb3e-19ed-4ff0-8e17-b667235f4c80']",35,,,,,,,,,,,,,,,,Sunderland,41,00:00:35.926,Pass,True
18,,,,,,,,,,,,,,,,,,1.550865,,,,,,,,,,,,6de93407-9e1f-4769-bc33-5d8c0ad75c42,44,,,"[56.3, 36.7]",3754008,0,,,,,2.492597,,Head,,,,"[53.4, 38.9]",,High Pass,,3.640055,,Unknown,,,,,,,,,1,Regular Play,Fabio Borini,7171.0,Center Forward,4,Sunderland,41,,36,,,,,,,,,,,,,,,,Sunderland,41,00:00:36.469,Pass,
19,,,,,,,,,,,,,,,,,,1.587375,,,,,,,,,,,,d76ea348-59e6-48a1-a3b3-aaea9d3cea1d,47,,,"[53.9, 41.1]",3754008,0,,True,,,-1.78294,,Right Foot,,,,"[49.7, 21.6]",,Ground Pass,,19.94718,,,,Younes Kaboul,,,,,,Free Kick,1,From Free Kick,Lee Cattermole,10783.0,Center Defensive Midfield,5,Sunderland,41,['b94a562c-3ca3-4138-8242-d73d8416cdb6'],46,,,,,,,,,,,,,,,,Sunderland,41,00:00:46.689,Pass,
20,,,,,,,,,,,,,,,,,,0.728302,,,,,,,,,,,,b6e7eae4-db44-4bfb-a876-b41928d9d3ac,49,,,"[54.2, 19.2]",3754008,0,,,,,-0.05258306,,Right Foot,,,,"[63.7, 18.7]",,Ground Pass,,9.513149,,,,Jeremain Lens,,,,,,,1,From Free Kick,Younes Kaboul,4746.0,Left Center Back,5,Sunderland,41,['f1bbea62-12df-44c6-a853-cd4cbf495659'],48,,,,,,,,,,,,,,,,Sunderland,41,00:00:48.519,Pass,
21,,,,,,,,,,,,,,,,,,0.804617,,,,,,,,,,,,85db347c-edcd-4244-a6c4-c9ce4ec01f54,51,,,"[63.7, 18.7]",3754008,0,,,,,2.336589,,Right Foot,,,,"[53.7, 29.1]",,Low Pass,,14.427751,,,,Lee Cattermole,,,,,,,1,From Free Kick,Jeremain Lens,16457.0,Left Midfield,5,Sunderland,41,['373c6ccb-a522-4333-957a-a7f739078a76'],49,,,,,,,,,,,,,,,,Sunderland,41,00:00:49.247,Pass,
22,,,,,,,,,,,,,,,,,,3.317944,,,,,,,,,,,,9288025c-a29b-46e4-8fe2-5627fa0e47a8,54,,,"[56.9, 27.4]",3754008,0,,,,,-0.030791087,,Right Foot,,,,"[105.6, 25.9]",,High Pass,,48.723095,,Incomplete,,Fabio Borini,,,,,,,1,From Free Kick,Lee Cattermole,10783.0,Center Defensive Midfield,5,Sunderland,41,"['53f3b8d5-0376-44a7-a557-cc88f56d0c52', 'f02ddd2f-daa5-4b81-b290-8841a7c69ec7']",51,,,,,,,,,,,,,,,,Sunderland,41,00:00:51.375,Pass,
23,,,,,,,,,,,,,,,,,,0.61339,,,,,,,,,,,,b41d5012-a872-44f5-8940-e4603c8b6bf1,57,,,"[14.2, 50.3]",3754008,1,,True,,,-1.3121324,,Keeper Arm,,,,"[21.0, 24.6]",,Ground Pass,,26.584394,,,,Daley Blind,,,,,,,1,Regular Play,David de Gea Quintana,3333.0,Goalkeeper,6,Manchester United,39,['f36e77d2-305d-402d-afab-0936647e2db8'],0,,,,,,,,,,,,,,,,Manchester United,39,00:01:00.473,Pass,
24,,,,,,,,,,,,,,,,,,0.969376,,,,,,,,,,,,69008fb9-2943-406c-a2b5-a633bcd9dd6e,59,,,"[21.6, 24.3]",3754008,1,,,,,-0.1271302,,Left Foot,,,,"[34.9, 22.6]",,Ground Pass,,13.408206,,,,Morgan Schneiderlin,,,,,,,1,Regular Play,Daley Blind,3311.0,Left Center Back,6,Manchester United,39,['f839d011-f168-44be-9288-26f6c6c4311d'],2,,,,,,,,,,,,,,,,Manchester United,39,00:01:02.165,Pass,
25,,,,,,,,,,,,,,,,,,1.656486,,,,,,,,,,,,33d12443-4bb9-4436-8247-cd4a5093f1f9,62,,,"[50.6, 25.2]",3754008,1,,,,,1.8570821,,Right Foot,,,,"[43.8, 48.3]",,Ground Pass,,24.080074,,,,Chris Smalling,,,,,,,1,Regular Play,Morgan Schneiderlin,3600.0,Left Defensive Midfield,6,Manchester United,39,['4e4b3a46-2a33-4829-894b-e3eb3426fb6a'],10,,,,,,,,,,,,,,,,Manchester United,39,00:01:10.203,Pass,
26,,,,,,,,,,,,,,,,,,1.62397,,,,,,,,,,,,dddc944c-1fac-49e4-8a81-da8960c1c47b,65,,,"[48.8, 50.6]",3754008,1,,,,,1.3143946,,Left Foot,,,,"[55.8, 77.3]",,Ground Pass,,27.602354,,,,Luis Antonio Valencia Mosquera,,,,,,,1,Regular Play,Chris Smalling,10958.0,Right Center Back,6,Manchester United,39,['d3eef34c-bdc1-454f-9352-165ac5ccfe6b'],13,,,,,,,,,,,,,,,,Manchester United,39,00:01:13.433,Pass,
27,,,,,,,,,,,,,,,,,,0.938143,,,,,,,,,,,,c1f4ebbb-10c6-49e1-a0a1-3c072d7c4568,68,,,"[56.1, 70.3]",3754008,1,,,,,-0.52531886,,Right Foot,,,,"[78.7, 57.2]",,Ground Pass,,26.122213,,,,Wayne Mark Rooney,,,,,,,1,Regular Play,Luis Antonio Valencia Mosquera,3267.0,Right Back,6,Manchester United,39,['04e3484c-e785-4e8e-802b-f77a1abae061'],16,,,,,,,,,,,,,,,,Manchester United,39,00:01:16.683,Pass,
28,,,,,,,,,,,,,,,,,,1.966426,,,,,,,,,,,,88ce9efa-8ea8-4518-a397-fcf5067ece99,73,,,"[13.5, 35.7]",3754008,1,,,,,-0.63583845,,Right Foot,,,,"[26.1, 26.4]",,Ground Pass,,15.6604595,,,,Younes Kaboul,,,,,,,1,Regular Play,Costel Fane Pantilimon,6871.0,Goalkeeper,7,Sunderland,41,['9a5bb2fa-aa14-46e1-8e37-43452e41b028'],25,,,,,,,,,,,,,,,,Sunderland,41,00:01:25.855,Pass,
29,,,,,,,,,,,,,,,,,,1.265221,,,,,,,,,,,,6083ccf6-5351-4d82-901b-7830bd9a1eb1,76,,,"[28.0, 27.9]",3754008,1,,,,,-0.8593372,,Right Foot,,,,"[38.0, 16.3]",,Ground Pass,,15.3153515,,,,Lee Cattermole,,,,,,,1,Regular Play,Younes Kaboul,4746.0,Left Center Back,7,Sunderland,41,['b38fb41c-fff0-4648-b4e5-9c9aba6779ff'],30,,,,,,,,,,,,,,,,Sunderland,41,00:01:30.818,Pass,
30,,,,,,,,,,,,,,,,,,3.412813,,,,,,,,,,,,39c000f9-2288-4f14-a238-0ee2863bf663,78,,,"[36.9, 16.6]",3754008,1,,,,,2.4117863,,Right Foot,,,,"[5.6, 44.6]",,Ground Pass,,41.99631,,,,Costel Fane Pantilimon,,,,,,,1,Regular Play,Lee Cattermole,10783.0,Center Defensive Midfield,7,Sunderland,41,['32fb2ca9-e672-4c28-a9fb-bfef3d450c4e'],32,,,,,,,,,,,,,,,,Sunderland,41,00:01:32.083,Pass,
31,,,,,,,,,,,,,,,,,,4.051467,,,,,,,,,,,,de380fd0-c1cb-4007-86ab-85b7dac501bf,80,,,"[6.1, 44.7]",3754008,1,,,,,-0.023387548,,Right Foot,,,,"[74.5, 43.1]",,High Pass,,68.41871,,Incomplete,,Fabio Borini,,,,,,,1,Regular Play,Costel Fane Pantilimon,6871.0,Goalkeeper,7,Sunderland,41,"['0ca0b825-bb46-4d0a-a7f0-22ca37cbde0e', '6678c5e7-7f18-4700-8c29-704e07364c41']",35,,,,,,,,,,,,,,,,Sunderland,41,00:01:35.496,Pass,
32,,,,,,,,,,,,,,,,,,1.981279,,,,,,,,,,,,6678c5e7-7f18-4700-8c29-704e07364c41,82,,,"[45.6, 37.0]",3754008,1,,,,,-1.8323786,,Head,,,,"[42.2, 24.3]",,Low Pass,,13.1472435,,,,Matteo Darmian,,,,,,Recovery,1,Regular Play,Chris Smalling,10958.0,Right Center Back,7,Sunderland,41,"['bd3ac33c-ece5-4160-8f45-f3430c9df282', 'de380fd0-c1cb-4007-86ab-85b7dac501bf']",39,,,,,,,,,,,,,,,,Manchester United,39,00:01:39.548,Pass,
33,,,,,,,,,,,,,,,,,,1.492553,,,,,,,,,,,,c6812e49-d3fd-4105-bb08-d5a9fba0fe82,86,,,"[43.2, 23.5]",3754008,1,,,,,2.4339595,,Right Foot,,,,"[34.9, 30.6]",,Low Pass,,10.922454,,Incomplete,,Chris Smalling,,,,,,,1,Regular Play,Matteo Darmian,4587.0,Left Back,7,Sunderland,41,"['81efd432-c5ca-4cb8-a4a4-b3b1aac391e5', 'fbfab5f3-6cd9-449a-948a-eb52589fd4c7']",41,,,,,,,,,,,,,,,,Manchester United,39,00:01:41.603,Pass,
34,,,,,,,,,,,,,True,,,,,1.071919,,,,,,,,,,,,fbfab5f3-6cd9-449a-948a-eb52589fd4c7,88,,,"[85.2, 49.5]",3754008,1,,,,,1.6352232,,Right Foot,,,,"[84.4, 61.9]",,Low Pass,,12.425779,,,,Adam Johnson,,,,,,Interception,1,Regular Play,Jeremain Lens,16457.0,Left Midfield,7,Sunderland,41,"['9e02ef12-9486-48a9-a5a8-d0346423ad4d', 'c6812e49-d3fd-4105-bb08-d5a9fba0fe82']",43,,,,,,,,,,,,,,,,Sunderland,41,00:01:43.096,Pass,
35,,,,,,,,,,,,,,,,,,0.839157,,,,,,,,,,,,2fcab888-914c-46c9-8e15-7abd001c2975,91,,,"[85.9, 60.5]",3754008,1,,,,,-2.479651,,Left Foot,,,,"[78.2, 54.5]",,Ground Pass,,9.76166,,,,Yann Gérard M''Vila,,,,,,,1,Regular Play,Adam Johnson,42902.0,Right Midfield,7,Sunderland,41,['d267a982-79d1-4071-97a4-132b529a74c6'],45,,,,,,,,,,,,,,,,Sunderland,41,00:01:45.688,Pass,
