,player,team,pass_recipient,x_start,y_start,x_end,y_end,pass_outcome
589,Alexis Mac Allister,Argentina,Nicolás Alejandro Tagliafico,62.5,13.0,60.8,13.4,Incomplete
590,Alexis Mac Allister,Argentina,Nicolás Hernán Otamendi,43.0,6.8,33.4,9.6,Complete
593,Damián Emiliano Martínez,Argentina,Ángel Fabián Di María Hernández,15.4,46.2,36.0,75.7,Complete
594,Ángel Fabián Di María Hernández,Argentina,Lionel Andrés Messi Cuccittini,70.6,65.8,92.4,60.7,Complete
595,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,92.4,60.9,111.9,70.1,Complete
596,Nahuel Molina Lucero,Argentina,Rodrigo Javier De Paul,110.8,80.0,107.4,72.5,Complete
597,Rodrigo Javier De Paul,Argentina,Nahuel Molina Lucero,108.5,71.6,112.3,78.0,Complete
598,Nahuel Molina Lucero,Argentina,,112.8,77.0,113.8,73.1,Incomplete
599,Lionel Andrés Messi Cuccittini,Argentina,,120.0,80.0,117.9,49.8,Incomplete
600,Nahuel Molina Lucero,Argentina,Julián Álvarez,106.4,80.0,113.0,66.9,Complete
601,Julián Álvarez,Argentina,,114.1,71.0,108.9,74.6,Incomplete
603,Nicolás Hernán Otamendi,Argentina,Rodrigo Javier De Paul,55.9,65.8,72.3,75.7,Complete
604,Rodrigo Javier De Paul,Argentina,Damián Emiliano Martínez,68.3,75.2,34.3,30.3,Complete
605,Damián Emiliano Martínez,Argentina,Enzo Fernandez,34.3,30.3,39.4,35.0,Complete
606,Enzo Fernandez,Argentina,,39.4,35.0,59.3,11.7,Incomplete
618,Rodrigo Javier De Paul,Argentina,Enzo Fernandez,22.5,71.8,31.3,77.8,Complete
619,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,31.3,77.2,40.0,73.3,Complete
620,Rodrigo Javier De Paul,Argentina,Cristian Gabriel Romero,53.5,76.5,33.0,72.9,Complete
621,Cristian Gabriel Romero,Argentina,Alexis Mac Allister,35.5,72.7,63.8,36.7,Complete
622,Alexis Mac Allister,Argentina,,64.2,37.0,76.6,26.0,Incomplete
641,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,58.4,67.1,63.8,74.6,Complete
642,Lionel Andrés Messi Cuccittini,Argentina,Nahuel Molina Lucero,67.6,71.8,63.1,76.1,Complete
643,Nahuel Molina Lucero,Argentina,,63.4,74.2,89.9,11.9,Incomplete
645,Nicolás Alejandro Tagliafico,Argentina,Ángel Fabián Di María Hernández,79.4,11.5,82.8,16.0,Complete
646,Ángel Fabián Di María Hernández,Argentina,Julián Álvarez,84.7,20.3,98.2,26.7,Complete
652,Damián Emiliano Martínez,Argentina,,29.6,48.5,81.1,5.9,Incomplete
656,Nicolás Alejandro Tagliafico,Argentina,Ángel Fabián Di María Hernández,57.6,13.6,76.6,8.9,Complete
657,Ángel Fabián Di María Hernández,Argentina,Lionel Andrés Messi Cuccittini,112.1,22.4,106.6,37.0,Complete
659,Nicolás Alejandro Tagliafico,Argentina,Enzo Fernandez,36.4,15.1,39.4,22.0,Complete
660,Enzo Fernandez,Argentina,Julián Álvarez,39.4,22.0,70.6,20.1,Unknown
662,Nahuel Molina Lucero,Argentina,Rodrigo Javier De Paul,40.3,80.0,46.5,73.3,Complete
663,Rodrigo Javier De Paul,Argentina,Nahuel Molina Lucero,46.5,73.3,37.3,77.6,Complete
664,Nahuel Molina Lucero,Argentina,Enzo Fernandez,37.3,77.6,37.0,69.0,Complete
665,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,36.4,69.3,46.5,75.5,Complete
666,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,45.4,74.2,70.6,80.0,Out
675,Enzo Fernandez,Argentina,,42.2,68.2,46.7,74.4,Incomplete
682,Alexis Mac Allister,Argentina,Lionel Andrés Messi Cuccittini,57.8,35.5,57.8,45.5,Complete
683,Lionel Andrés Messi Cuccittini,Argentina,Julián Álvarez,64.0,43.4,90.5,25.8,Complete
684,Julián Álvarez,Argentina,Alexis Mac Allister,90.5,25.6,111.9,43.6,Incomplete
696,Damián Emiliano Martínez,Argentina,,7.0,36.1,71.5,13.6,Incomplete
698,Nicolás Alejandro Tagliafico,Argentina,Enzo Fernandez,56.9,10.4,57.2,20.7,Complete
699,Enzo Fernandez,Argentina,Nicolás Hernán Otamendi,57.2,20.7,40.0,17.7,Complete
700,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,40.0,18.3,34.5,29.9,Complete
701,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,35.1,30.1,35.5,14.7,Complete
702,Nicolás Hernán Otamendi,Argentina,Nicolás Alejandro Tagliafico,35.5,12.6,46.2,4.0,Complete
703,Nicolás Alejandro Tagliafico,Argentina,Julián Álvarez,46.2,5.1,71.3,22.0,Complete
704,Julián Álvarez,Argentina,Lionel Andrés Messi Cuccittini,71.3,22.0,68.3,29.3,Complete
705,Lionel Andrés Messi Cuccittini,Argentina,Marcos Javier Acuña,74.7,19.8,87.1,5.3,Complete
707,Alexis Mac Allister,Argentina,Marcos Javier Acuña,94.6,19.2,102.1,14.1,Complete
709,Lionel Andrés Messi Cuccittini,Argentina,Alexis Mac Allister,97.8,9.6,100.1,24.3,Complete
710,Alexis Mac Allister,Argentina,,100.4,24.3,104.4,26.0,Incomplete
713,Nicolás Alejandro Tagliafico,Argentina,,90.7,16.0,105.9,15.6,Incomplete
716,Nicolás Hernán Otamendi,Argentina,,40.0,19.8,57.2,28.0,Incomplete
724,Rodrigo Javier De Paul,Argentina,Nahuel Molina Lucero,20.1,64.6,6.9,65.6,Complete
725,Nahuel Molina Lucero,Argentina,,6.7,65.6,14.2,80.0,Out
732,Nicolás Alejandro Tagliafico,Argentina,Marcos Javier Acuña,11.0,5.3,16.1,10.2,Complete
733,Alexis Mac Allister,Argentina,,3.0,8.9,33.6,19.6,Incomplete
748,Damián Emiliano Martínez,Argentina,,7.0,44.1,74.7,30.1,Incomplete
750,Cristian Gabriel Romero,Argentina,Rodrigo Javier De Paul,52.4,40.2,64.9,44.7,Complete
754,Rodrigo Javier De Paul,Argentina,Enzo Fernandez,43.7,74.4,41.3,64.3,Complete
755,Enzo Fernandez,Argentina,Alexis Mac Allister,46.9,59.4,57.2,46.2,Complete
756,Alexis Mac Allister,Argentina,Enzo Fernandez,57.2,46.2,50.9,56.6,Complete
757,Enzo Fernandez,Argentina,Lionel Andrés Messi Cuccittini,50.1,55.6,54.4,64.1,Complete
758,Lionel Andrés Messi Cuccittini,Argentina,Enzo Fernandez,57.6,59.6,48.8,53.9,Complete
759,Enzo Fernandez,Argentina,Nicolás Hernán Otamendi,43.9,49.6,39.2,30.8,Complete
760,Nicolás Hernán Otamendi,Argentina,Nicolás Alejandro Tagliafico,40.0,27.5,50.7,15.4,Complete
761,Nicolás Alejandro Tagliafico,Argentina,Marcos Javier Acuña,50.9,11.1,66.8,5.1,Incomplete
773,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,17.2,75.0,29.3,72.0,Complete
774,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,32.6,72.9,73.2,77.0,Incomplete
782,Cristian Gabriel Romero,Argentina,Nahuel Molina Lucero,19.3,67.8,27.2,74.8,Complete
