,player,team,pass_recipient,x_start,y_start,x_end,y_end,pass_outcome
1079,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,30.2,62.6,41.6,32.2,Complete
1080,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,44.6,44.9,48.6,57.0,Complete
1081,Rodrigo Javier De Paul,Argentina,Nicolás Hernán Otamendi,47.1,54.9,42.0,27.7,Complete
1082,Nicolás Hernán Otamendi,Argentina,Nicolás Alejandro Tagliafico,40.7,25.2,49.5,10.0,Complete
1083,Nicolás Alejandro Tagliafico,Argentina,Nicolás Hernán Otamendi,47.5,8.7,39.0,18.1,Complete
1084,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,38.8,20.7,41.8,29.2,Complete
1085,Enzo Fernandez,Argentina,Rodrigo Javier De Paul,39.8,35.7,53.7,42.3,Complete
1086,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,54.8,42.1,73.0,47.0,Complete
1087,Lionel Andrés Messi Cuccittini,Argentina,Alexis Mac Allister,73.6,46.8,78.8,30.1,Complete
1088,Alexis Mac Allister,Argentina,Marcos Javier Acuña,80.5,29.2,100.4,4.9,Complete
1090,Rodrigo Javier De Paul,Argentina,,100.0,57.5,119.8,19.8,Out
1092,Nicolás Hernán Otamendi,Argentina,Marcos Javier Acuña,34.7,29.5,46.0,13.2,Complete
1094,Damián Emiliano Martínez,Argentina,Nicolás Hernán Otamendi,10.8,30.7,19.7,23.2,Complete
1095,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,20.8,23.2,20.6,52.1,Complete
1096,Cristian Gabriel Romero,Argentina,Enzo Fernandez,20.6,52.3,34.3,52.1,Complete
1097,Enzo Fernandez,Argentina,Gonzalo Ariel Montiel,35.8,62.2,43.7,75.2,Complete
1099,Enzo Fernandez,Argentina,Alexis Mac Allister,21.0,48.9,25.3,46.6,Complete
1100,Alexis Mac Allister,Argentina,Rodrigo Javier De Paul,25.3,47.6,34.1,73.1,Complete
1101,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,39.4,75.2,65.5,75.7,Incomplete
1104,Julián Álvarez,Argentina,Rodrigo Javier De Paul,18.9,54.3,5.0,69.5,Complete
1105,Rodrigo Javier De Paul,Argentina,Julián Álvarez,5.0,69.5,21.5,74.4,Complete
1111,Damián Emiliano Martínez,Argentina,Cristian Gabriel Romero,13.1,40.8,22.9,54.3,Complete
1112,Cristian Gabriel Romero,Argentina,Gonzalo Ariel Montiel,24.4,60.5,55.2,73.9,Complete
1115,Enzo Fernandez,Argentina,Cristian Gabriel Romero,51.6,68.0,45.2,60.9,Complete
1116,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,44.6,58.3,38.8,28.8,Complete
1117,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,38.6,28.2,36.0,50.4,Complete
1118,Cristian Gabriel Romero,Argentina,Enzo Fernandez,36.2,55.3,41.6,71.4,Complete
1119,Enzo Fernandez,Argentina,Gonzalo Ariel Montiel,40.1,71.6,54.2,74.2,Complete
1122,Damián Emiliano Martínez,Argentina,Nicolás Hernán Otamendi,12.9,34.6,23.6,25.2,Complete
1123,Nicolás Hernán Otamendi,Argentina,Leandro Daniel Paredes,24.7,26.7,22.3,44.2,Complete
1125,Cristian Gabriel Romero,Argentina,Marcos Javier Acuña,50.8,66.5,92.9,23.2,Incomplete
1127,Alexis Mac Allister,Argentina,Leandro Daniel Paredes,75.8,9.6,55.0,19.2,Complete
1129,Enzo Fernandez,Argentina,Alexis Mac Allister,65.3,37.4,66.8,30.5,Complete
1130,Alexis Mac Allister,Argentina,Enzo Fernandez,70.4,31.2,71.7,38.9,Complete
1131,Enzo Fernandez,Argentina,Leandro Daniel Paredes,67.7,43.4,58.9,32.9,Complete
1135,Alexis Mac Allister,Argentina,Lautaro Javier Martínez,51.8,48.5,68.1,49.1,Complete
1137,Enzo Fernandez,Argentina,Alexis Mac Allister,77.9,54.7,80.1,40.6,Complete
1138,Alexis Mac Allister,Argentina,Marcos Javier Acuña,80.5,40.4,86.5,25.4,Complete
1140,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,75.1,23.9,81.6,30.5,Complete
1141,Alexis Mac Allister,Argentina,Lionel Andrés Messi Cuccittini,80.9,34.6,83.7,44.0,Complete
1142,Lionel Andrés Messi Cuccittini,Argentina,Alexis Mac Allister,86.0,34.4,97.0,45.3,Complete
1143,Alexis Mac Allister,Argentina,Lionel Andrés Messi Cuccittini,97.0,45.3,101.0,38.2,Complete
1144,Lionel Andrés Messi Cuccittini,Argentina,Lautaro Javier Martínez,103.4,37.6,107.9,47.8,Complete
1145,Lionel Andrés Messi Cuccittini,Argentina,Enzo Fernandez,120.0,0.1,102.5,70.1,Complete
1159,Nicolás Hernán Otamendi,Argentina,Nicolás Alejandro Tagliafico,55.7,18.1,77.7,4.9,Complete
1160,Nicolás Alejandro Tagliafico,Argentina,Marcos Javier Acuña,81.8,3.6,89.2,7.0,Complete
1162,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,102.1,4.7,93.3,18.6,Complete
1163,Alexis Mac Allister,Argentina,Leandro Daniel Paredes,93.5,18.6,83.0,26.5,Complete
1165,Lionel Andrés Messi Cuccittini,Argentina,Gonzalo Ariel Montiel,92.9,60.1,111.5,66.3,Complete
1168,Cristian Gabriel Romero,Argentina,Gonzalo Ariel Montiel,36.6,54.9,42.8,72.5,Complete
1171,Nicolás Alejandro Tagliafico,Argentina,Nicolás Hernán Otamendi,42.6,15.1,34.3,18.1,Complete
1172,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,33.2,23.9,32.8,56.9,Complete
1173,Cristian Gabriel Romero,Argentina,Enzo Fernandez,32.3,61.8,45.6,76.1,Complete
1174,Enzo Fernandez,Argentina,Gonzalo Ariel Montiel,50.1,73.5,110.0,60.3,Incomplete
1183,Lionel Andrés Messi Cuccittini,Argentina,Enzo Fernandez,91.2,58.8,95.4,49.4,Complete
1184,Enzo Fernandez,Argentina,Lautaro Javier Martínez,95.4,49.4,109.3,56.9,Complete
1189,Damián Emiliano Martínez,Argentina,,7.0,44.1,74.7,71.8,Incomplete
1194,Cristian Gabriel Romero,Argentina,,13.3,64.8,85.8,38.9,Incomplete
1200,Nicolás Hernán Otamendi,Argentina,Alexis Mac Allister,34.5,43.2,43.9,43.2,Complete
1201,Alexis Mac Allister,Argentina,Enzo Fernandez,53.7,47.2,50.9,58.8,Complete
1202,Enzo Fernandez,Argentina,Marcos Javier Acuña,49.7,57.9,73.2,6.4,Complete
1217,Enzo Fernandez,Argentina,Leandro Daniel Paredes,61.0,40.1,50.7,44.9,Complete
1219,Enzo Fernandez,Argentina,Gonzalo Ariel Montiel,63.1,62.8,94.2,71.4,Complete
1223,Enzo Fernandez,Argentina,,82.6,59.0,82.0,74.0,Incomplete
1226,Enzo Fernandez,Argentina,Marcos Javier Acuña,79.2,43.6,94.6,21.1,Complete
1228,Lionel Andrés Messi Cuccittini,Argentina,,120.0,0.1,112.3,40.0,Incomplete
1229,Enzo Fernandez,Argentina,Gonzalo Ariel Montiel,83.2,80.0,96.3,76.3,Complete
1234,Damián Emiliano Martínez,Argentina,Paulo Bruno Exequiel Dybala,7.0,44.1,79.8,6.4,Complete
1237,Nicolás Hernán Otamendi,Argentina,Germán Alejandro Pezzella,71.7,16.0,53.3,30.5,Complete
1239,Nicolás Hernán Otamendi,Argentina,Marcos Javier Acuña,64.2,16.4,78.1,5.3,Complete
1241,Nicolás Hernán Otamendi,Argentina,Marcos Javier Acuña,56.1,3.6,66.8,7.4,Incomplete
1243,Nicolás Hernán Otamendi,Argentina,Leandro Daniel Paredes,55.7,6.4,54.6,15.6,Complete
1249,Enzo Fernandez,Argentina,Lionel Andrés Messi Cuccittini,64.2,27.8,74.1,34.6,Complete
1250,Lionel Andrés Messi Cuccittini,Argentina,Lautaro Javier Martínez,74.1,34.6,92.2,29.9,Pass Offside
1252,Nicolás Hernán Otamendi,Argentina,,35.1,26.9,58.4,36.7,Incomplete
1254,Nicolás Hernán Otamendi,Argentina,Paulo Bruno Exequiel Dybala,22.5,34.2,48.8,47.2,Complete
1256,Enzo Fernandez,Argentina,Lionel Andrés Messi Cuccittini,42.8,54.1,58.0,62.4,Complete
1257,Lionel Andrés Messi Cuccittini,Argentina,Gonzalo Ariel Montiel,66.8,62.6,104.9,62.6,Complete
