player,x_start,y_start,count
Alexis Mac Allister,68.14888888888889,26.637777777777778,45
Cristian Gabriel Romero,33.87166666666666,52.68666666666666,60
Damián Emiliano Martínez,11.433333333333334,42.15555555555555,18
Enzo Fernandez,55.1506329113924,43.23037974683544,79
Julián Álvarez,77.70769230769231,34.746153846153845,26
Lionel Andrés Messi Cuccittini,76.45714285714286,49.67551020408163,49
Nahuel Molina Lucero,57.297435897435896,72.05641025641025,39
Nicolás Alejandro Tagliafico,58.972727272727276,7.6431818181818185,44
Nicolás Hernán Otamendi,38.54057971014493,24.65072463768116,69
Rodrigo Javier De Paul,57.13859649122807,58.984210526315785,57
Ángel Fabián Di María Hernández,79.884,11.448,25
